market,model,portfolio,annualized_sharpe,cumulative_return_percent
csi500,FinPFN,1,-4.4,-38.5
csi500,FinPFN,2,-3.0,-19.1
csi500,FinPFN,3,-2.1,-10.6
csi500,FinPFN,4,-1.1,-7.2
csi500,FinPFN,5,0.4,0.8
csi500,FinPFN,6,0.3,1.8
csi500,FinPFN,7,3.1,13.0
csi500,FinPFN,8,3.0,13.0
csi500,FinPFN,9,3.5,16.5
csi500,FinPFN,10,5.1,30.5
csi500,FinPFN,H-L,9.8,69.0
csi500,LightGBM,1,-4.2,-36.8
csi500,LightGBM,2,-2.6,-17.0
csi500,LightGBM,3,-1.5,-10.1
csi500,LightGBM,4,0.3,2.4
csi500,LightGBM,5,-1.6,-5.2
csi500,LightGBM,6,1.1,4.1
csi500,LightGBM,7,1.7,7.8
csi500,LightGBM,8,3.4,16.5
csi500,LightGBM,9,2.6,14.8
csi500,LightGBM,10,3.1,23.5
csi500,LightGBM,H-L,7.3,0.3
us,FinPFN,1,-1.4,-167.1
us,FinPFN,2,-0.4,-42.9
us,FinPFN,3,-0.4,-20.4
us,FinPFN,4,0.2,9.7
us,FinPFN,5,0.8,24.8
us,FinPFN,6,0.9,31.9
us,FinPFN,7,0.8,35.9
us,FinPFN,8,0.7,38.3
us,FinPFN,9,0.8,46.5
us,FinPFN,10,0.7,43.5
us,FinPFN,H-L,2.1,210.6
us,LightGBM,1,-1.5,-220.4
us,LightGBM,2,-1.2,-56.6
us,LightGBM,3,-0.4,-13.1
us,LightGBM,4,0.4,13.8
us,LightGBM,5,0.4,15.3
us,LightGBM,6,0.9,37.6
us,LightGBM,7,1.3,45.2
us,LightGBM,8,1.7,58.9
us,LightGBM,9,1.4,59.1
us,LightGBM,10,0.7,60.2
us,LightGBM,H-L,2.2,280.6
