model,id,tail_periods,top_periods,bottom_periods,cumulative_signed_contribution_decimal,mean_signed_contribution_decimal
FinPFN,000008.XSHE,30,19,11,0.002985191310576119,9.950637701920396e-05
FinPFN,000009.XSHE,42,17,25,0.002765790110323876,6.585214548390181e-05
FinPFN,000012.XSHE,37,24,13,0.004468287806540619,0.00012076453531190861
FinPFN,000021.XSHE,29,22,7,0.0022937306639380485,7.909416082544995e-05
FinPFN,000027.XSHE,26,23,3,0.0007960662405528166,3.0617932328954486e-05
FinPFN,000028.XSHE,13,7,6,0.0022853485390800865,0.00017579604146769897
FinPFN,000031.XSHE,25,9,16,0.0013242678207279809,5.2970712829119234e-05
FinPFN,000039.XSHE,37,21,16,0.0014775763661122286,3.993449638141158e-05
FinPFN,000046.XSHE,39,25,14,0.0009196969167245676,2.3581972223706862e-05
FinPFN,000050.XSHE,32,15,17,0.0002381918081743826,7.443494005449456e-06
FinPFN,000060.XSHE,36,28,8,0.0013484282282338854,3.7456339673163486e-05
FinPFN,000062.XSHE,40,21,19,-0.003186567880023976,-7.96641970005994e-05
FinPFN,000078.XSHE,37,16,21,0.00101724852080449,2.7493203264986215e-05
FinPFN,000089.XSHE,21,15,6,-6.515889158517361e-05,-3.1028043611987434e-06
FinPFN,000090.XSHE,12,10,2,0.00086611052087408,7.217587673950667e-05
FinPFN,000099.XSHE,30,24,6,0.0007918569260492373,2.6395230868307907e-05
FinPFN,000155.XSHE,5,1,4,0.001006789032345195,0.000201357806469039
FinPFN,000156.XSHE,45,44,1,-0.0005542411773157857,-1.2316470607017459e-05
FinPFN,000158.XSHE,51,22,29,0.010687429019495247,0.00020955743175480877
FinPFN,000400.XSHE,37,17,20,0.0012477112839724114,3.3721926593848956e-05
FinPFN,000401.XSHE,33,31,2,-0.0006485073738150688,-1.9651738600456633e-05
FinPFN,000402.XSHE,25,11,14,2.5690701048218344e-05,1.0276280419287338e-06
FinPFN,000415.XSHE,30,13,17,-0.0005138457335343188,-1.7128191117810626e-05
FinPFN,000417.XSHE,31,19,12,-0.0012754677768446433,-4.114412183369817e-05
FinPFN,000488.XSHE,15,10,5,-0.0018473791594454708,-0.00012315861062969807
FinPFN,000501.XSHE,32,29,3,0.0009887482542576475,3.0898382945551484e-05
FinPFN,000510.XSHE,36,11,25,0.0011837353332199488,3.2881537033887465e-05
FinPFN,000513.XSHE,39,22,17,0.0026170792681663516,6.710459661965005e-05
FinPFN,000519.XSHE,53,18,35,2.8469465534584306e-05,5.371597270676284e-07
FinPFN,000528.XSHE,23,15,8,-0.0021267719673570985,-9.246834640683037e-05
FinPFN,000536.XSHE,39,20,19,0.002677874808894485,6.866345663832012e-05
FinPFN,000537.XSHE,68,30,38,-0.008843156217657413,-0.00013004641496555018
FinPFN,000540.XSHE,46,15,31,-0.0024535831430948164,-5.3338763980322096e-05
FinPFN,000541.XSHE,28,9,19,0.005931283083413678,0.00021183153869334563
FinPFN,000547.XSHE,27,11,16,0.001546114728767507,5.726350847287063e-05
FinPFN,000553.XSHE,36,16,20,0.0003361526957628896,9.33757488230249e-06
FinPFN,000559.XSHE,33,25,8,0.0032443150566084933,9.831257747298465e-05
FinPFN,000563.XSHE,25,24,1,-0.0002642968032022523,-1.0571872128090092e-05
FinPFN,000572.XSHE,55,31,24,0.00042057599950093055,7.646836354562374e-06
FinPFN,000581.XSHE,40,27,13,0.0007203035842235936,1.800758960558984e-05
