model,previous_date,date,k,common_assets,cross_date_rank_spearman,mean_absolute_rank_migration,top_overlap_fraction,bottom_overlap_fraction,top_jaccard,bottom_jaccard
FinPFN,2022-01-05 09:30:00,2022-01-06 09:30:00,10,253,0.17586635662637035,0.2999322283637478,0.1,0.0,0.05263157894736842,0.0
FinPFN,2022-01-05 09:30:00,2022-01-06 09:30:00,20,253,0.17586635662637035,0.2999322283637478,0.05,0.1,0.02564102564102564,0.05263157894736842
FinPFN,2022-01-05 09:30:00,2022-01-06 09:30:00,40,253,0.17586635662637035,0.2999322283637478,0.075,0.1,0.03896103896103896,0.05263157894736842
FinPFN,2022-01-06 09:30:00,2022-01-07 09:30:00,10,260,0.013743944778427532,0.329280616140329,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-06 09:30:00,2022-01-07 09:30:00,20,260,0.013743944778427532,0.329280616140329,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-06 09:30:00,2022-01-07 09:30:00,40,260,0.013743944778427532,0.329280616140329,0.025,0.1,0.012658227848101266,0.05263157894736842
FinPFN,2022-01-07 09:30:00,2022-01-10 09:30:00,10,257,0.07620492489367477,0.326136908012335,0.0,0.0,0.0,0.0
FinPFN,2022-01-07 09:30:00,2022-01-10 09:30:00,20,257,0.07620492489367477,0.326136908012335,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-07 09:30:00,2022-01-10 09:30:00,40,257,0.07620492489367477,0.326136908012335,0.05,0.1,0.02564102564102564,0.05263157894736842
FinPFN,2022-01-10 09:30:00,2022-01-11 09:30:00,10,255,0.2499066408059287,0.2832114445214609,0.1,0.1,0.05263157894736842,0.05263157894736842
FinPFN,2022-01-10 09:30:00,2022-01-11 09:30:00,20,255,0.2499066408059287,0.2832114445214609,0.1,0.25,0.05263157894736842,0.14285714285714285
FinPFN,2022-01-10 09:30:00,2022-01-11 09:30:00,40,255,0.2499066408059287,0.2832114445214609,0.125,0.275,0.06666666666666667,0.15942028985507245
FinPFN,2022-01-11 09:30:00,2022-01-12 09:30:00,10,266,0.15538390177266356,0.3081476145081986,0.1,0.0,0.05263157894736842,0.0
FinPFN,2022-01-11 09:30:00,2022-01-12 09:30:00,20,266,0.15538390177266356,0.3081476145081986,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-01-11 09:30:00,2022-01-12 09:30:00,40,266,0.15538390177266356,0.3081476145081986,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-01-12 09:30:00,2022-01-13 09:30:00,10,265,0.052982370162111984,0.32064327698330536,0.0,0.0,0.0,0.0
FinPFN,2022-01-12 09:30:00,2022-01-13 09:30:00,20,265,0.052982370162111984,0.32064327698330536,0.05,0.0,0.02564102564102564,0.0
FinPFN,2022-01-12 09:30:00,2022-01-13 09:30:00,40,265,0.052982370162111984,0.32064327698330536,0.175,0.05,0.0958904109589041,0.02564102564102564
FinPFN,2022-01-13 09:30:00,2022-01-14 09:30:00,10,266,0.06247471551467178,0.32067621160180143,0.0,0.0,0.0,0.0
FinPFN,2022-01-13 09:30:00,2022-01-14 09:30:00,20,266,0.06247471551467178,0.32067621160180143,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-01-13 09:30:00,2022-01-14 09:30:00,40,266,0.06247471551467178,0.32067621160180143,0.025,0.15,0.012658227848101266,0.08108108108108109
FinPFN,2022-01-14 09:30:00,2022-01-17 09:30:00,10,257,0.17103867862636862,0.30286115278593495,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-14 09:30:00,2022-01-17 09:30:00,20,257,0.17103867862636862,0.30286115278593495,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-01-14 09:30:00,2022-01-17 09:30:00,40,257,0.17103867862636862,0.30286115278593495,0.05,0.2,0.02564102564102564,0.1111111111111111
FinPFN,2022-01-17 09:30:00,2022-01-18 09:30:00,10,264,0.103297484494127,0.30686172198867734,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-17 09:30:00,2022-01-18 09:30:00,20,264,0.103297484494127,0.30686172198867734,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-01-17 09:30:00,2022-01-18 09:30:00,40,264,0.103297484494127,0.30686172198867734,0.05,0.175,0.02564102564102564,0.0958904109589041
FinPFN,2022-01-18 09:30:00,2022-01-19 09:30:00,10,277,0.1634638294700921,0.28977549916178075,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-18 09:30:00,2022-01-19 09:30:00,20,277,0.1634638294700921,0.28977549916178075,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-01-18 09:30:00,2022-01-19 09:30:00,40,277,0.1634638294700921,0.28977549916178075,0.05,0.175,0.02564102564102564,0.0958904109589041
FinPFN,2022-01-19 09:30:00,2022-01-20 09:30:00,10,267,0.12086626931238881,0.3054845291374447,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-19 09:30:00,2022-01-20 09:30:00,20,267,0.12086626931238881,0.3054845291374447,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-01-19 09:30:00,2022-01-20 09:30:00,40,267,0.12086626931238881,0.3054845291374447,0.075,0.075,0.03896103896103896,0.03896103896103896
FinPFN,2022-01-20 09:30:00,2022-01-21 09:30:00,10,266,0.124502160637974,0.3076143997797796,0.0,0.0,0.0,0.0
FinPFN,2022-01-20 09:30:00,2022-01-21 09:30:00,20,266,0.124502160637974,0.3076143997797796,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-01-20 09:30:00,2022-01-21 09:30:00,40,266,0.124502160637974,0.3076143997797796,0.025,0.05,0.012658227848101266,0.02564102564102564
FinPFN,2022-01-21 09:30:00,2022-01-24 09:30:00,10,267,0.01421548168593545,0.32682295918714016,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-01-21 09:30:00,2022-01-24 09:30:00,20,267,0.01421548168593545,0.32682295918714016,0.05,0.25,0.02564102564102564,0.14285714285714285
FinPFN,2022-01-21 09:30:00,2022-01-24 09:30:00,40,267,0.01421548168593545,0.32682295918714016,0.1,0.125,0.05263157894736842,0.06666666666666667
FinPFN,2022-01-24 09:30:00,2022-01-25 09:30:00,10,254,0.04944061717930457,0.3127654971533199,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-24 09:30:00,2022-01-25 09:30:00,20,254,0.04944061717930457,0.3127654971533199,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-01-24 09:30:00,2022-01-25 09:30:00,40,254,0.04944061717930457,0.3127654971533199,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-01-25 09:30:00,2022-01-26 09:30:00,10,263,0.17654749685342083,0.2974928288207181,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-25 09:30:00,2022-01-26 09:30:00,20,263,0.17654749685342083,0.2974928288207181,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-01-25 09:30:00,2022-01-26 09:30:00,40,263,0.17654749685342083,0.2974928288207181,0.075,0.225,0.03896103896103896,0.1267605633802817
FinPFN,2022-01-26 09:30:00,2022-01-27 09:30:00,10,258,0.1372978004052115,0.3112684156735701,0.0,0.0,0.0,0.0
FinPFN,2022-01-26 09:30:00,2022-01-27 09:30:00,20,258,0.1372978004052115,0.3112684156735701,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-01-26 09:30:00,2022-01-27 09:30:00,40,258,0.1372978004052115,0.3112684156735701,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-01-27 09:30:00,2022-01-28 09:30:00,10,263,0.0694529833792017,0.32164273688591266,0.0,0.0,0.0,0.0
FinPFN,2022-01-27 09:30:00,2022-01-28 09:30:00,20,263,0.0694529833792017,0.32164273688591266,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-01-27 09:30:00,2022-01-28 09:30:00,40,263,0.0694529833792017,0.32164273688591266,0.025,0.1,0.012658227848101266,0.05263157894736842
FinPFN,2022-01-28 09:30:00,2022-02-07 09:30:00,10,260,0.06155553052104776,0.3269227277425338,0.0,0.0,0.0,0.0
FinPFN,2022-01-28 09:30:00,2022-02-07 09:30:00,20,260,0.06155553052104776,0.3269227277425338,0.0,0.0,0.0,0.0
FinPFN,2022-01-28 09:30:00,2022-02-07 09:30:00,40,260,0.06155553052104776,0.3269227277425338,0.025,0.1,0.012658227848101266,0.05263157894736842
FinPFN,2022-02-07 09:30:00,2022-02-08 09:30:00,10,260,0.07438935714797781,0.31020328755634174,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-07 09:30:00,2022-02-08 09:30:00,20,260,0.07438935714797781,0.31020328755634174,0.05,0.05,0.02564102564102564,0.02564102564102564
FinPFN,2022-02-07 09:30:00,2022-02-08 09:30:00,40,260,0.07438935714797781,0.31020328755634174,0.075,0.075,0.03896103896103896,0.03896103896103896
FinPFN,2022-02-08 09:30:00,2022-02-09 09:30:00,10,274,0.09085075508433173,0.31208632016593985,0.0,0.0,0.0,0.0
FinPFN,2022-02-08 09:30:00,2022-02-09 09:30:00,20,274,0.09085075508433173,0.31208632016593985,0.1,0.0,0.05263157894736842,0.0
FinPFN,2022-02-08 09:30:00,2022-02-09 09:30:00,40,274,0.09085075508433173,0.31208632016593985,0.125,0.025,0.06666666666666667,0.012658227848101266
FinPFN,2022-02-09 09:30:00,2022-02-10 09:30:00,10,268,0.08568265144350508,0.31125012845317573,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-09 09:30:00,2022-02-10 09:30:00,20,268,0.08568265144350508,0.31125012845317573,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-09 09:30:00,2022-02-10 09:30:00,40,268,0.08568265144350508,0.31125012845317573,0.075,0.15,0.03896103896103896,0.08108108108108109
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,10,262,0.12706732576880517,0.3055787761974149,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,20,262,0.12706732576880517,0.3055787761974149,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,40,262,0.12706732576880517,0.3055787761974149,0.1,0.125,0.05263157894736842,0.06666666666666667
