model,date,k,actual_fraction,top_precision,bottom_precision,top_mean_return_decimal,bottom_mean_return_decimal,long_short_return_decimal,top_mean_absolute_rank_error,bottom_mean_absolute_rank_error
FinPFN,2022-01-05 09:30:00,10,0.025380710659898477,0.0,0.1,-0.004068953289321195,-0.00513085622749256,0.0010619029381713652,0.5104060913705583,0.4888324873096447
FinPFN,2022-01-05 09:30:00,20,0.050761421319796954,0.0,0.15,0.0004121560068391243,0.00014865728406992482,0.0002634987227691995,0.4480964467005076,0.5239847715736041
FinPFN,2022-01-05 09:30:00,40,0.10152284263959391,0.075,0.125,0.003992716787663024,-0.0015163990549220637,0.005509115842585087,0.3873730964467005,0.4310279187817258
FinPFN,2022-01-06 09:30:00,10,0.025510204081632654,0.0,0.1,0.0036075158772681483,-0.009384350115696102,0.01299186599296425,0.3466836734693878,0.44260204081632654
FinPFN,2022-01-06 09:30:00,20,0.05102040816326531,0.0,0.3,0.0018440929113825056,-0.002696541179704455,0.004540634091086961,0.3668367346938775,0.4864795918367347
FinPFN,2022-01-06 09:30:00,40,0.10204081632653061,0.125,0.2,0.005574568296007829,-0.0013726311462132382,0.0069471994422210664,0.28832908163265303,0.4698341836734694
FinPFN,2022-01-07 09:30:00,10,0.02481389578163772,0.1,0.4,0.005462439152929146,-0.03121324644222643,0.03667568559515558,0.46848635235732006,0.13052109181141439
FinPFN,2022-01-07 09:30:00,20,0.04962779156327544,0.15,0.25,0.007306785622490776,-0.01544380283862663,0.022750588461117403,0.395409429280397,0.3002481389578164
FinPFN,2022-01-07 09:30:00,40,0.09925558312655088,0.1,0.175,0.003722079157586387,-0.0028780479376264716,0.006600127095212859,0.40397022332506205,0.409863523573201
FinPFN,2022-01-10 09:30:00,10,0.02544529262086514,0.0,0.0,0.003190359242513933,-0.004874535893990991,0.008064895136504924,0.4022900763358779,0.361323155216285
FinPFN,2022-01-10 09:30:00,20,0.05089058524173028,0.15,0.1,0.004869060099406562,-0.0017226253452445345,0.006591685444651096,0.383587786259542,0.42773536895674297
FinPFN,2022-01-10 09:30:00,40,0.10178117048346055,0.175,0.175,0.0036494819614917213,-0.0030642434456740085,0.00671372540716573,0.36653944020356233,0.4072519083969466
FinPFN,2022-01-11 09:30:00,10,0.02493765586034913,0.0,0.1,-0.0009306774857295926,-0.010584224274936127,0.009653546789206534,0.5423940149625934,0.3276807980049875
FinPFN,2022-01-11 09:30:00,20,0.04987531172069826,0.0,0.1,0.0003951307385377755,-0.001222451736231631,0.0016175824747694065,0.4857855361596009,0.3911471321695761
FinPFN,2022-01-11 09:30:00,40,0.09975062344139651,0.025,0.2,-0.0013914741007263172,0.001967119409705658,-0.0033585935104319753,0.4865960099750623,0.44750623441396503
FinPFN,2022-01-12 09:30:00,10,0.02481389578163772,0.0,0.1,-0.012146213720823296,-0.012732834153716621,0.0005866204328933249,0.7086848635235732,0.2875930521091812
FinPFN,2022-01-12 09:30:00,20,0.04962779156327544,0.0,0.3,-0.006850186154159658,-0.0020871681902553912,-0.004763017963904267,0.575682382133995,0.44602977667493793
FinPFN,2022-01-12 09:30:00,40,0.09925558312655088,0.025,0.225,-0.004362708028235785,-0.002891506853394381,-0.001471201174841404,0.4964640198511166,0.41916873449131514
FinPFN,2022-01-13 09:30:00,10,0.024691358024691357,0.0,0.1,-0.010314852354705369,0.008411672193621465,-0.018726524548326833,0.7091358024691359,0.5535802469135802
FinPFN,2022-01-13 09:30:00,20,0.04938271604938271,0.0,0.2,-0.005666180383311576,-0.0036151693892499544,-0.0020510109940616215,0.5792592592592593,0.3898765432098766
FinPFN,2022-01-13 09:30:00,40,0.09876543209876543,0.125,0.225,-8.001168360936007e-05,-0.0014598877114186978,0.0013798760278093377,0.45135802469135805,0.43586419753086425
FinPFN,2022-01-14 09:30:00,10,0.024630541871921183,0.0,0.1,-0.0022727610764056356,0.014410700218094308,-0.016683461294499945,0.49975369458128077,0.6448275862068964
FinPFN,2022-01-14 09:30:00,20,0.04926108374384237,0.0,0.15,-0.00015917878451060432,0.006838530467319764,-0.006997709251830369,0.44384236453201975,0.5492610837438423
FinPFN,2022-01-14 09:30:00,40,0.09852216748768473,0.075,0.175,0.0006368298127047129,0.0017712888802481133,-0.0011344590675434005,0.4112068965517241,0.4672413793103448
FinPFN,2022-01-17 09:30:00,10,0.02493765586034913,0.0,0.2,-0.0007669472275979004,0.005102855484565135,-0.0058698027121630355,0.4945137157107232,0.527431421446384
FinPFN,2022-01-17 09:30:00,20,0.04987531172069826,0.0,0.15,-0.00046788503575430926,0.00657952263038717,-0.00704740766614148,0.4972568578553617,0.5369077306733167
FinPFN,2022-01-17 09:30:00,40,0.09975062344139651,0.075,0.125,-0.0020365014167313786,0.0035269782401529384,-0.005563479656884317,0.48360349127182045,0.4932044887780548
FinPFN,2022-01-18 09:30:00,10,0.02457002457002457,0.1,0.0,0.011184449780793559,0.005242154121151819,0.00594229565964174,0.3965601965601966,0.5135135135135134
FinPFN,2022-01-18 09:30:00,20,0.04914004914004914,0.1,0.1,0.0026778624788204148,0.00339245141173998,-0.0007145889329195653,0.44078624078624074,0.5052825552825552
FinPFN,2022-01-18 09:30:00,40,0.09828009828009827,0.125,0.15,0.0027024647035426203,0.0020430982533235624,0.000659366450219058,0.4337837837837838,0.4885749385749385
FinPFN,2022-01-19 09:30:00,10,0.02457002457002457,0.1,0.2,0.0044661077382249625,-0.010332097211898598,0.01479820495012356,0.4594594594594595,0.2987714987714988
