model,seed,uncertainty_signal,outcome,n_observations,pooled_spearman,pooled_pvalue,mean_datewise_spearman,median_datewise_spearman,n_dates
FinPFN,42,total_member_sd,absolute_cross_sectional_z_error,48,0.22372991749891447,0.1263542456538365,0.22372991749891447,0.22372991749891447,1
FinPFN,42,total_member_sd,absolute_rank_error,48,0.19716552685700872,0.17919950254977543,0.19716552685700872,0.19716552685700872,1
FinPFN,42,total_member_sd,rank_instability_next,0,,,,,0
FinPFN,42,total_member_sd,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,within_group_ensemble_sd,absolute_cross_sectional_z_error,48,0.22372991749891447,0.1263542456538365,0.22372991749891447,0.22372991749891447,1
FinPFN,42,within_group_ensemble_sd,absolute_rank_error,48,0.19716552685700872,0.17919950254977543,0.19716552685700872,0.19716552685700872,1
FinPFN,42,within_group_ensemble_sd,rank_instability_next,0,,,,,0
FinPFN,42,within_group_ensemble_sd,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,ensemble_mad,absolute_cross_sectional_z_error,48,-0.052105948762483714,0.7250454024673407,-0.052105948762483714,-0.052105948762483714,1
FinPFN,42,ensemble_mad,absolute_rank_error,48,-0.18206995636231071,0.21551205292670164,-0.18206995636231071,-0.18206995636231071,1
FinPFN,42,ensemble_mad,rank_instability_next,0,,,,,0
FinPFN,42,ensemble_mad,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,ensemble_iqr,absolute_cross_sectional_z_error,48,0.1064915327833261,0.47127918086190573,0.1064915327833261,0.1064915327833261,1
FinPFN,42,ensemble_iqr,absolute_rank_error,48,-0.004126846610061323,0.9777913092813371,-0.004126846610061323,-0.004126846610061323,1
FinPFN,42,ensemble_iqr,rank_instability_next,0,,,,,0
FinPFN,42,ensemble_iqr,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,member_rank_disagreement,absolute_cross_sectional_z_error,48,-0.16044290056448113,0.2759969181719447,-0.16044290056448113,-0.16044290056448113,1
FinPFN,42,member_rank_disagreement,absolute_rank_error,48,-0.03866203666267976,0.7941732643520484,-0.03866203666267976,-0.03866203666267976,1
FinPFN,42,member_rank_disagreement,rank_instability_next,0,,,,,0
FinPFN,42,member_rank_disagreement,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,group_composition_sd,absolute_cross_sectional_z_error,48,,,,,0
FinPFN,42,group_composition_sd,absolute_rank_error,48,,,,,0
FinPFN,42,group_composition_sd,rank_instability_next,0,,,,,0
FinPFN,42,group_composition_sd,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,mean_median_disagreement,absolute_cross_sectional_z_error,48,0.23708206686930092,0.10470037595252069,0.23708206686930092,0.23708206686930092,1
FinPFN,42,mean_median_disagreement,absolute_rank_error,48,0.07531495063361915,0.6109159427883021,0.07531495063361915,0.07531495063361915,1
FinPFN,42,mean_median_disagreement,rank_instability_next,0,,,,,0
FinPFN,42,mean_median_disagreement,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,predictive_interval_width,absolute_cross_sectional_z_error,48,0.2907077724706904,0.045014985371293274,0.2907077724706904,0.2907077724706904,1
FinPFN,42,predictive_interval_width,absolute_rank_error,48,0.11712642286713518,0.4278828121144086,0.11712642286713518,0.11712642286713518,1
FinPFN,42,predictive_interval_width,rank_instability_next,0,,,,,0
FinPFN,42,predictive_interval_width,realized_forward_ic_deterioration,1,,,,,1
FinPFN,42,predictive_std,absolute_cross_sectional_z_error,48,0.2658488927485888,0.06780149389347097,0.2658488927485888,0.2658488927485888,1
FinPFN,42,predictive_std,absolute_rank_error,48,0.11555170508171704,0.434162815610287,0.11555170508171704,0.11555170508171704,1
FinPFN,42,predictive_std,rank_instability_next,0,,,,,0
FinPFN,42,predictive_std,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,total_member_sd,absolute_cross_sectional_z_error,48,0.3038428137212332,0.035771517522109234,0.3038428137212332,0.3038428137212332,1
TabPFN,42,total_member_sd,absolute_rank_error,48,0.16327750926350854,0.26748945101026955,0.16327750926350854,0.16327750926350854,1
TabPFN,42,total_member_sd,rank_instability_next,0,,,,,0
TabPFN,42,total_member_sd,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,within_group_ensemble_sd,absolute_cross_sectional_z_error,48,0.3038428137212332,0.035771517522109234,0.3038428137212332,0.3038428137212332,1
TabPFN,42,within_group_ensemble_sd,absolute_rank_error,48,0.16327750926350854,0.26748945101026955,0.16327750926350854,0.16327750926350854,1
TabPFN,42,within_group_ensemble_sd,rank_instability_next,0,,,,,0
TabPFN,42,within_group_ensemble_sd,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,ensemble_mad,absolute_cross_sectional_z_error,48,0.25086843247937474,0.0854550237493256,0.25086843247937474,0.25086843247937474,1
TabPFN,42,ensemble_mad,absolute_rank_error,48,0.19678007767574154,0.1800681546940347,0.19678007767574154,0.19678007767574154,1
TabPFN,42,ensemble_mad,rank_instability_next,0,,,,,0
TabPFN,42,ensemble_mad,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,ensemble_iqr,absolute_cross_sectional_z_error,48,0.27160225792444637,0.061847573795747665,0.27160225792444637,0.27160225792444637,1
TabPFN,42,ensemble_iqr,absolute_rank_error,48,0.25634623253509264,0.07862458258624068,0.25634623253509264,0.25634623253509264,1
TabPFN,42,ensemble_iqr,rank_instability_next,0,,,,,0
TabPFN,42,ensemble_iqr,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,member_rank_disagreement,absolute_cross_sectional_z_error,48,-0.2101777724431998,0.15161719202476542,-0.2101777724431998,-0.2101777724431998,1
TabPFN,42,member_rank_disagreement,absolute_rank_error,48,-0.028210699298123507,0.8490464244175868,-0.028210699298123507,-0.028210699298123507,1
TabPFN,42,member_rank_disagreement,rank_instability_next,0,,,,,0
TabPFN,42,member_rank_disagreement,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,group_composition_sd,absolute_cross_sectional_z_error,48,,,,,0
TabPFN,42,group_composition_sd,absolute_rank_error,48,,,,,0
TabPFN,42,group_composition_sd,rank_instability_next,0,,,,,0
TabPFN,42,group_composition_sd,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,mean_median_disagreement,absolute_cross_sectional_z_error,48,0.38080764220581853,0.007580598328622083,0.38080764220581853,0.38080764220581853,1
TabPFN,42,mean_median_disagreement,absolute_rank_error,48,0.17690659300981398,0.22903357294714824,0.17690659300981398,0.17690659300981398,1
TabPFN,42,mean_median_disagreement,rank_instability_next,0,,,,,0
TabPFN,42,mean_median_disagreement,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,predictive_interval_width,absolute_cross_sectional_z_error,48,0.22448979591836735,0.12503793795337584,0.22448979591836735,0.22448979591836735,1
TabPFN,42,predictive_interval_width,absolute_rank_error,48,0.13949448663051325,0.34435005994206025,0.13949448663051325,0.13949448663051325,1
TabPFN,42,predictive_interval_width,rank_instability_next,0,,,,,0
TabPFN,42,predictive_interval_width,realized_forward_ic_deterioration,1,,,,,1
TabPFN,42,predictive_std,absolute_cross_sectional_z_error,48,0.23719062092922275,0.10453683604628207,0.23719062092922275,0.23719062092922275,1
TabPFN,42,predictive_std,absolute_rank_error,48,0.13037223137402193,0.37712067106679853,0.13037223137402193,0.13037223137402193,1
TabPFN,42,predictive_std,rank_instability_next,0,,,,,0
TabPFN,42,predictive_std,realized_forward_ic_deterioration,1,,,,,1
