model,seed,uncertainty_signal,requested_coverage,realized_coverage,n_asset_dates,n_dates,mean_ic,ic_std_ddof1,ir,gross_long_short_mean_return_decimal,gross_long_short_sharpe,average_total_one_way_turnover_including_initial,fixed_cost_bps,net_long_short_mean_return_decimal,net_long_short_sharpe,mean_long_positions,mean_short_positions
FinPFN,42,total_member_sd,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,total_member_sd,0.8,0.7916666666666666,38,1,0.011929517632839537,,,-0.011401270028976054,,2.0,10,-0.013401270028976054,,3.0,4.0
FinPFN,42,total_member_sd,0.6,0.5833333333333334,28,1,0.24880252046324666,,,0.025890551173365375,,2.0,10,0.023890551173365374,,2.0,3.0
FinPFN,42,total_member_sd,0.4,0.3958333333333333,19,1,0.031578947368421054,,,-0.022044398339624422,,2.0,10,-0.02404439833962442,,1.0,2.0
FinPFN,42,total_member_sd,0.2,0.20833333333333334,10,1,-0.17575757575757575,,,-0.04217569156694312,,2.0,10,-0.04417569156694312,,1.0,1.0
FinPFN,42,within_group_ensemble_sd,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,within_group_ensemble_sd,0.8,0.7916666666666666,38,1,0.011929517632839537,,,-0.011401270028976054,,2.0,10,-0.013401270028976054,,3.0,4.0
FinPFN,42,within_group_ensemble_sd,0.6,0.5833333333333334,28,1,0.24880252046324666,,,0.025890551173365375,,2.0,10,0.023890551173365374,,2.0,3.0
FinPFN,42,within_group_ensemble_sd,0.4,0.3958333333333333,19,1,0.031578947368421054,,,-0.022044398339624422,,2.0,10,-0.02404439833962442,,1.0,2.0
FinPFN,42,within_group_ensemble_sd,0.2,0.20833333333333334,10,1,-0.17575757575757575,,,-0.04217569156694312,,2.0,10,-0.04417569156694312,,1.0,1.0
FinPFN,42,ensemble_mad,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,ensemble_mad,0.8,0.7916666666666666,38,1,-0.07912881879397234,,,-0.012667777602306292,,2.0,10,-0.014667777602306292,,3.0,4.0
FinPFN,42,ensemble_mad,0.6,0.5833333333333334,28,1,0.0038314176245210726,,,0.014299972038706544,,2.0,10,0.012299972038706544,,2.0,3.0
FinPFN,42,ensemble_mad,0.4,0.3958333333333333,19,1,-0.1754385964912281,,,-0.04884375434068533,,2.0,10,-0.05084375434068533,,1.0,2.0
FinPFN,42,ensemble_mad,0.2,0.20833333333333334,10,1,-0.34545454545454546,,,-0.05868452061100518,,2.0,10,-0.06068452061100518,,1.0,1.0
FinPFN,42,ensemble_iqr,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,ensemble_iqr,0.8,0.7916666666666666,38,1,-0.005581700910778133,,,0.0029518713059490664,,2.0,10,0.0009518713059490664,,3.0,4.0
FinPFN,42,ensemble_iqr,0.6,0.5833333333333334,28,1,-0.06897495616802876,,,-0.01949427982637764,,2.0,10,-0.021494279826377638,,2.0,3.0
FinPFN,42,ensemble_iqr,0.4,0.3958333333333333,19,1,-0.0894736842105263,,,0.03724302496884664,,2.0,10,0.03524302496884664,,1.0,2.0
FinPFN,42,ensemble_iqr,0.2,0.20833333333333334,10,1,-0.32121212121212117,,,-0.05072481841875334,,2.0,10,-0.052724818418753344,,1.0,1.0
FinPFN,42,member_rank_disagreement,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,member_rank_disagreement,0.8,0.7916666666666666,38,1,-0.01565579389371173,,,-0.007044753891881748,,2.0,10,-0.009044753891881748,,3.0,4.0
FinPFN,42,member_rank_disagreement,0.6,0.5833333333333334,28,1,-0.021349391194866053,,,0.017550102056509982,,2.0,10,0.015550102056509982,,2.0,3.0
FinPFN,42,member_rank_disagreement,0.4,0.3958333333333333,19,1,-0.22290480425804476,,,-0.0206757704053344,,2.0,10,-0.022675770405334403,,1.0,2.0
FinPFN,42,member_rank_disagreement,0.2,0.20833333333333334,10,1,-0.10334394242561099,,,0.03821997979199865,,2.0,10,0.03621997979199865,,1.0,1.0
FinPFN,42,group_composition_sd,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,group_composition_sd,0.8,0.7916666666666666,38,1,0.07933034248823723,,,0.0066379643632847405,,2.0,10,0.0046379643632847405,,3.0,4.0
FinPFN,42,group_composition_sd,0.6,0.5833333333333334,28,1,0.10892172961138478,,,0.03169923935615778,,2.0,10,0.02969923935615778,,2.0,3.0
FinPFN,42,group_composition_sd,0.4,0.3958333333333333,19,1,-0.243859649122807,,,-0.02390780949303887,,2.0,10,-0.02590780949303887,,1.0,2.0
FinPFN,42,group_composition_sd,0.2,0.20833333333333334,10,1,-0.32121212121212117,,,-0.051273246003371846,,2.0,10,-0.05327324600337185,,1.0,1.0
FinPFN,42,mean_median_disagreement,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
