model,seed,uncertainty_signal,uncertainty_quantile,n_asset_dates,mean_absolute_cross_sectional_z_error,mean_absolute_rank_error,mean_next_rank_instability,predicted_tail_count,tail_selection_precision
FinPFN,42,total_member_sd,1,9,0.6816085406855209,0.2939814814814815,,0,
FinPFN,42,total_member_sd,2,10,1.048940719554783,0.33645833333333336,,2,0.0
FinPFN,42,total_member_sd,3,9,0.8728707258610571,0.25578703703703703,,2,0.5
FinPFN,42,total_member_sd,4,10,1.3642624926031464,0.4593750000000001,,3,0.0
FinPFN,42,total_member_sd,5,10,1.2765258902491856,0.3927083333333333,,2,0.5
FinPFN,42,within_group_ensemble_sd,1,9,0.6816085406855209,0.2939814814814815,,0,
FinPFN,42,within_group_ensemble_sd,2,10,1.048940719554783,0.33645833333333336,,2,0.0
FinPFN,42,within_group_ensemble_sd,3,9,0.8728707258610571,0.25578703703703703,,2,0.5
FinPFN,42,within_group_ensemble_sd,4,10,1.3642624926031464,0.4593750000000001,,3,0.0
FinPFN,42,within_group_ensemble_sd,5,10,1.2765258902491856,0.3927083333333333,,2,0.5
FinPFN,42,ensemble_mad,1,9,0.9907489042472437,0.4050925925925926,,2,0.0
FinPFN,42,ensemble_mad,2,10,0.9492800434435986,0.3614583333333333,,0,
FinPFN,42,ensemble_mad,3,9,0.834868998429574,0.2986111111111111,,1,1.0
FinPFN,42,ensemble_mad,4,10,1.3915896784788977,0.4041666666666666,,4,0.0
FinPFN,42,ensemble_mad,5,10,1.1048346079674027,0.28437499999999993,,2,0.5
FinPFN,42,ensemble_iqr,1,9,0.9230970762628926,0.39814814814814814,,1,0.0
FinPFN,42,ensemble_iqr,2,10,0.737032684993504,0.259375,,1,1.0
FinPFN,42,ensemble_iqr,3,9,1.3868853109774724,0.3923611111111111,,3,0.0
FinPFN,42,ensemble_iqr,4,10,0.936066628029392,0.3052083333333333,,1,0.0
FinPFN,42,ensemble_iqr,5,10,1.336676980759811,0.4072916666666667,,3,0.3333333333333333
FinPFN,42,member_rank_disagreement,1,9,2.0438716455842876,0.537037037037037,,5,0.2
FinPFN,42,member_rank_disagreement,2,10,0.7758140479552922,0.28958333333333336,,1,0.0
FinPFN,42,member_rank_disagreement,3,9,0.6283285373032765,0.22685185185185183,,1,1.0
