model,seed,uncertainty_signal,uncertainty_quantile,n_asset_dates,mean_absolute_cross_sectional_z_error,mean_absolute_rank_error,mean_next_rank_instability,predicted_tail_count,tail_selection_precision
FinPFN,42,total_member_sd,1,19274,1.0336673592665326,0.3213481207718458,0.30712390103572124,4214,0.11580446131941148
FinPFN,42,total_member_sd,2,19360,0.9902337113385943,0.313161185112392,0.300271218918084,3585,0.1297071129707113
FinPFN,42,total_member_sd,3,19390,0.9868685560019604,0.3127000041185062,0.3019517939817301,3372,0.14590747330960854
FinPFN,42,total_member_sd,4,19360,1.0051438511298578,0.3139240654103546,0.3024556009661605,3438,0.1573589296102385
FinPFN,42,total_member_sd,5,19475,1.1732834873835432,0.3331815531210024,0.3152533281053066,4758,0.1948297604035309
FinPFN,42,within_group_ensemble_sd,1,19274,1.0254079465355028,0.3197311413963433,0.3054258738842328,4119,0.1153192522456907
FinPFN,42,within_group_ensemble_sd,2,19360,0.995323884785909,0.31456952216906225,0.3002154768051346,3523,0.13142208345160375
FinPFN,42,within_group_ensemble_sd,3,19390,0.9838607213512109,0.31119363032475805,0.30033976698540765,3375,0.14577777777777778
FinPFN,42,within_group_ensemble_sd,4,19360,1.012284138544531,0.31620317880693044,0.30216091156181535,3466,0.15839584535487594
FinPFN,42,within_group_ensemble_sd,5,19475,1.1722941221752157,0.33261596686012274,0.3188608170218341,4884,0.19123669123669124
FinPFN,42,ensemble_mad,1,19274,1.058414006866064,0.32365244676390637,0.31139023232912993,4282,0.13288183092013078
FinPFN,42,ensemble_mad,2,19360,1.026113529452658,0.31821744205281827,0.3003158949615826,3801,0.14259405419626414
FinPFN,42,ensemble_mad,3,19390,1.0222588477134305,0.3162980128161386,0.3019141140022145,3620,0.14558011049723757
FinPFN,42,ensemble_mad,4,19360,1.0170230319995024,0.31538196381089695,0.30184025741142806,3572,0.16209406494960807
FinPFN,42,ensemble_mad,5,19475,1.0660794379641152,0.32084301575416174,0.3117139298093319,4092,0.17008797653958943
FinPFN,42,ensemble_iqr,1,19274,1.0523104451825904,0.32313388090687123,0.31122460169617583,4287,0.1350594821553534
FinPFN,42,ensemble_iqr,2,19360,1.02834872645312,0.3174985272046802,0.3016291977284469,3813,0.13637555730396014
FinPFN,42,ensemble_iqr,3,19390,1.0297075118910686,0.31849602919351183,0.3002251724107369,3674,0.14806750136091454
FinPFN,42,ensemble_iqr,4,19360,1.0100485778999344,0.3123910654949319,0.305093205258545,3567,0.16596579758901037
FinPFN,42,ensemble_iqr,5,19475,1.0694151230435276,0.3228557132447017,0.3090370267393656,4026,0.16840536512667661
FinPFN,42,member_rank_disagreement,1,19274,1.4342188211748228,0.36503044626087366,0.3318130089482491,9380,0.17153518123667377
FinPFN,42,member_rank_disagreement,2,19360,0.9989187402860531,0.31916921158100175,0.30189779364290403,3788,0.1348996832101373
FinPFN,42,member_rank_disagreement,3,19390,0.9267007342611681,0.3046973791347,0.2958964745125486,2406,0.13881961762261014
FinPFN,42,member_rank_disagreement,4,19360,0.905960070672074,0.3003380269908423,0.29594040472730265,1932,0.13146997929606624
FinPFN,42,member_rank_disagreement,5,19475,0.9267356576517575,0.3054510303138112,0.3018638080433263,1861,0.11015583019881783
FinPFN,42,group_composition_sd,1,19274,1.0760146816616605,0.3263103958498936,0.31405870421010085,4414,0.1388763026733122
FinPFN,42,group_composition_sd,2,19360,1.085997198072778,0.32755549634688597,0.31920166571105474,4521,0.15262110152621103
FinPFN,42,group_composition_sd,3,19390,1.0602175356051586,0.3230497647775242,0.30952884362271765,4336,0.14137453874538744
FinPFN,42,group_composition_sd,4,19360,0.9537924778523336,0.3051640750492033,0.29045568638430624,2848,0.15519662921348315
FinPFN,42,group_composition_sd,5,19475,1.0141945260037928,0.312364854731243,0.2941692035364168,3248,0.1708743842364532
