model,seed,subperiod,n_dates,mean_ic,ic_std_ddof1,ir
FinPFN,42,2010,11,0.024383380457761738,0.12969004269283274,0.18801274139074112
FinPFN,42,2011,12,0.12147209617500715,0.09098365621958882,1.3350979859705194
FinPFN,42,2012,12,0.07314883668885737,0.08608304369467229,0.8497473317545413
FinPFN,42,2013,12,-0.02081537231932874,0.07446393516028396,-0.2795362919582957
FinPFN,42,2014,12,0.08885821178148161,0.126038249051161,0.7050098874779877
FinPFN,42,2015,12,0.10285801403935625,0.1068771222197033,0.9623950561460186
FinPFN,42,2016,12,0.05579386267705711,0.14930230827894855,0.3736972543841372
FinPFN,42,2017,12,0.060197643931483275,0.048596307190644485,1.2387287720304851
FinPFN,42,2018,12,0.06834361139755342,0.11005030118330246,0.6210215752496546
FinPFN,42,2019,12,0.0936225173654473,0.111338924729021,0.8408785839571178
FinPFN,42,2020,12,0.021748811323835018,0.11269665247583027,0.19298542455375436
FinPFN,42,2021,12,0.10532358076909576,0.13478111771064497,0.7814416630318338
LightGBM,42,2010,11,0.049926909060486316,0.07674807511905528,0.6505297883111376
LightGBM,42,2011,12,0.029798655533446322,0.07448733714027975,0.4000499504677878
LightGBM,42,2012,12,0.04102214598996664,0.08699778526661096,0.47153092304880323
LightGBM,42,2013,12,0.061515245890933185,0.08119779085867863,0.7575975311692642
LightGBM,42,2014,12,0.029771718700359422,0.08080205856222528,0.3684524779456252
LightGBM,42,2015,12,0.043317780429475115,0.07134455134245905,0.6071631205801072
LightGBM,42,2016,12,0.01592483560970731,0.08312939924368913,0.19156683140491074
LightGBM,42,2017,12,0.03947347899223944,0.07331515957669303,0.5384081439657413
LightGBM,42,2018,12,0.04011917611439627,0.06487099571721465,0.6184455112926522
LightGBM,42,2019,12,0.046497821659994165,0.06276970960740143,0.7407684685944671
LightGBM,42,2020,12,0.03964622905759321,0.09505251447644379,0.417098161747404
LightGBM,42,2021,12,0.08234927231835894,0.07558811419335684,1.0894473714175066
Ridge,42,2010,11,0.03409554293972151,0.10691678548548661,0.3188979427776549
Ridge,42,2011,12,0.04212533796340994,0.10844777911745625,0.3884389178480581
Ridge,42,2012,12,0.05737527442295095,0.08205582992051855,0.6992224011203855
Ridge,42,2013,12,0.06073751474672259,0.053241950959278646,1.140783041424925
Ridge,42,2014,12,0.022478436977951714,0.11062123180185639,0.20320183216016668
Ridge,42,2015,12,0.09078657593402555,0.05653295172873125,1.6059054614671018
Ridge,42,2016,12,0.008278898566207027,0.06207121637149321,0.1333774179107144
Ridge,42,2017,12,0.032527615697517887,0.0801941941101827,0.4056106063342517
Ridge,42,2018,12,0.028488804550951975,0.05571518326459984,0.5113292801291586
Ridge,42,2019,12,0.05450117175368254,0.06297441835832365,0.8654493868219879
Ridge,42,2020,12,0.03647860533554775,0.1003200015231566,0.36362245595787285
Ridge,42,2021,12,0.05863729978376934,0.07234883260629499,0.8104802478688146
TabPFN,42,2010,11,-0.0073421959661053825,0.11618721112662345,-0.06319280663431788
TabPFN,42,2011,12,0.05256275986463601,0.18182692743025364,0.28908127419575064
TabPFN,42,2012,12,-0.017570059787336178,0.10404738952277458,-0.16886593568491526
TabPFN,42,2013,12,-0.0039709326533903045,0.06666774412919482,-0.05956302714690735
TabPFN,42,2014,12,-0.0124488253219125,0.11080474398614372,-0.11234920883413839
TabPFN,42,2015,12,-0.0014414956369759233,0.1090040319446969,-0.013224241445557398
TabPFN,42,2016,12,0.02144644634872822,0.08151812916878631,0.26308805866143664
TabPFN,42,2017,12,-0.0026370768405457414,0.0988073914527588,-0.02668906446949938
TabPFN,42,2018,12,0.011939367432669703,0.037326644130958354,0.3198617960613102
TabPFN,42,2019,12,-0.047207626329203646,0.1243656801675859,-0.37958724839192115
TabPFN,42,2020,12,-0.02200507478941378,0.1325973674949039,-0.16595408495013675
TabPFN,42,2021,12,0.053244297414289564,0.12807846066416215,0.4157162503217681
