model,seed,decile,mean_one_way_turnover
FinPFN,42,1,0.9697183098591556
FinPFN,42,2,0.9828169014084513
FinPFN,42,3,0.985070422535212
FinPFN,42,4,0.9864788732394373
FinPFN,42,5,0.9894366197183107
FinPFN,42,6,0.98774647887324
FinPFN,42,7,0.9887323943661979
FinPFN,42,8,0.9849295774647894
FinPFN,42,9,0.9838028169014091
FinPFN,42,10,0.9818309859154934
LightGBM,42,1,0.9687323943661978
LightGBM,42,2,0.9846478873239443
LightGBM,42,3,0.985915492957747
LightGBM,42,4,0.9860563380281697
LightGBM,42,5,0.9888732394366204
LightGBM,42,6,0.987464788732395
LightGBM,42,7,0.9877464788732402
LightGBM,42,8,0.9876056338028175
LightGBM,42,9,0.9839436619718316
LightGBM,42,10,0.9719718309859162
Ridge,42,1,0.9676056338028175
Ridge,42,2,0.9823943661971835
Ridge,42,3,0.9860563380281697
Ridge,42,4,0.9883098591549304
Ridge,42,5,0.984507042253522
Ridge,42,6,0.9895774647887331
Ridge,42,7,0.9883098591549304
Ridge,42,8,0.98718309859155
Ridge,42,9,0.986901408450705
Ridge,42,10,0.9692957746478881
TabPFN,42,1,0.9800000000000005
TabPFN,42,2,0.9894366197183107
TabPFN,42,3,0.9895774647887331
TabPFN,42,4,0.9900000000000007
TabPFN,42,5,0.9878873239436626
TabPFN,42,6,0.9900000000000007
TabPFN,42,7,0.9902816901408459
TabPFN,42,8,0.9894366197183104
TabPFN,42,9,0.9892957746478881
TabPFN,42,10,0.9876056338028175
