model,prediction_percentile_bin,n_asset_dates,mean_prediction_rank,mean_prediction,mean_raw_return_decimal,median_raw_return_decimal,mean_realized_rank,mean_absolute_rank_error,mean_signed_prediction_return_decimal
FinPFN,1,3575,0.025,-0.5421296884463384,-0.00948561849510505,-0.033794,0.42576363636363634,0.4036302097902098,0.00948561849510505
FinPFN,2,3575,0.075,-0.3794679747219686,0.005202960050349548,-0.010752999999999999,0.46496755244755245,0.40272839160839163,-0.005202960050349548
FinPFN,3,3575,0.125,-0.30036406009764105,0.008543911608391535,-0.005432,0.4790923076923077,0.3831742657342657,-0.008543911608391535
FinPFN,4,3575,0.175,-0.24645059536387037,0.009752660117482465,0.001696,0.4895583216783217,0.35944335664335664,-0.009752660117482465
FinPFN,5,3575,0.225,-0.20508070917813095,0.008701585902097858,0.0043,0.49429622377622373,0.3388514685314685,-0.008701585902097858
FinPFN,6,3575,0.275,-0.17124570962015565,0.007871700436363602,0.00443,0.4888741258741259,0.30585174825174827,-0.007871700436363602
FinPFN,7,3575,0.325,-0.14253138224197018,0.004493796419580405,0.0006900000000000001,0.48202601398601397,0.2813840559440559,-0.004493796419580405
FinPFN,8,3575,0.375,-0.1173131989948191,0.010527284184615357,0.006042,0.5009625174825175,0.26599384615384614,-0.010246315793006968
FinPFN,9,3575,0.425,-0.09399848058536467,0.009989891518881092,0.006795,0.503361958041958,0.2554282517482518,-0.0073759532475524275
FinPFN,10,3575,0.475,-0.07319782676191519,0.011008968447552432,0.007459,0.506986013986014,0.2380481118881119,0.005339107625174813
FinPFN,11,3575,0.525,-0.05365427243692631,0.01265652238321676,0.008443,0.5107532867132867,0.23422209790209791,0.01265652238321676
FinPFN,12,3575,0.575,-0.03424612726224912,0.013528568352447534,0.007866,0.5134559440559441,0.23407216783216783,0.013528568352447534
FinPFN,13,3575,0.625,-0.015154015077571092,0.014183304330069917,0.010437,0.5201373426573427,0.23374657342657343,0.014183304330069917
FinPFN,14,3575,0.675,0.0034944500814849786,0.011408226103496495,0.009615,0.515220979020979,0.2416218181818182,0.011408226103496495
FinPFN,15,3575,0.725,0.022847872826472656,0.01195381028251747,0.009455999999999999,0.5149983216783216,0.26427412587412585,0.01195381028251747
