model,previous_date,date,k,common_assets,cross_date_rank_spearman,mean_absolute_rank_migration,top_overlap_fraction,bottom_overlap_fraction,top_jaccard,bottom_jaccard
FinPFN,2010-02-28,2010-03-31,10,53,0.467908401870666,0.23358490566037735,0.0,0.0,0.0,0.0
FinPFN,2010-02-28,2010-03-31,20,53,0.467908401870666,0.23358490566037735,0.05,0.0,0.02564102564102564,0.0
FinPFN,2010-02-28,2010-03-31,40,53,0.467908401870666,0.23358490566037735,0.025,0.025,0.012658227848101266,0.012658227848101266
FinPFN,2010-03-31,2010-04-30,10,47,0.21877890841813136,0.2741276595744681,0.0,0.0,0.0,0.0
FinPFN,2010-03-31,2010-04-30,20,47,0.21877890841813136,0.2741276595744681,0.0,0.0,0.0,0.0
FinPFN,2010-03-31,2010-04-30,40,47,0.21877890841813136,0.2741276595744681,0.0,0.0,0.0,0.0
FinPFN,2010-04-30,2010-05-31,10,47,0.6214153561517114,0.18817021276595744,0.0,0.0,0.0,0.0
FinPFN,2010-04-30,2010-05-31,20,47,0.6214153561517114,0.18817021276595744,0.0,0.0,0.0,0.0
FinPFN,2010-04-30,2010-05-31,40,47,0.6214153561517114,0.18817021276595744,0.0,0.075,0.0,0.03896103896103896
FinPFN,2010-05-31,2010-06-30,10,40,0.44878048780487806,0.23335,0.0,0.0,0.0,0.0
FinPFN,2010-05-31,2010-06-30,20,40,0.44878048780487806,0.23335,0.0,0.0,0.0,0.0
FinPFN,2010-05-31,2010-06-30,40,40,0.44878048780487806,0.23335,0.025,0.05,0.012658227848101266,0.02564102564102564
FinPFN,2010-06-30,2010-07-31,10,46,0.16682084489670057,0.30826086956521737,0.0,0.0,0.0,0.0
FinPFN,2010-06-30,2010-07-31,20,46,0.16682084489670057,0.30826086956521737,0.0,0.0,0.0,0.0
FinPFN,2010-06-30,2010-07-31,40,46,0.16682084489670057,0.30826086956521737,0.0,0.05,0.0,0.02564102564102564
FinPFN,2010-07-31,2010-08-31,10,55,0.40014430014430025,0.25632727272727274,0.0,0.0,0.0,0.0
FinPFN,2010-07-31,2010-08-31,20,55,0.40014430014430025,0.25632727272727274,0.0,0.0,0.0,0.0
FinPFN,2010-07-31,2010-08-31,40,55,0.40014430014430025,0.25632727272727274,0.05,0.0,0.02564102564102564,0.0
FinPFN,2010-08-31,2010-09-30,10,28,0.2523262178434592,0.27478571428571424,0.0,0.0,0.0,0.0
FinPFN,2010-08-31,2010-09-30,20,28,0.2523262178434592,0.27478571428571424,0.0,0.0,0.0,0.0
FinPFN,2010-08-31,2010-09-30,40,28,0.2523262178434592,0.27478571428571424,0.0,0.025,0.0,0.012658227848101266
FinPFN,2010-09-30,2010-10-31,10,49,0.14908163265306124,0.30044897959183675,0.0,0.0,0.0,0.0
FinPFN,2010-09-30,2010-10-31,20,49,0.14908163265306124,0.30044897959183675,0.05,0.0,0.02564102564102564,0.0
