model,leg,previous_date,date,universe_size_previous,universe_size_current,universe_overlap_count,universe_one_way_turnover,position_count_previous,position_count_current,previous_positions_available_current,retained_positions,total_leg_one_way_turnover,forced_by_sample_universe_turnover,additional_reranking_turnover,conditional_retention_if_asset_available
FinPFN,short,2010-02-28,2010-03-31,500,500,53,0.894,50,50,3,1,0.98,0.94,0.04,0.3333333333333333
FinPFN,short,2010-03-31,2010-04-30,500,500,47,0.906,50,50,3,0,1.0,0.94,0.06,0.0
FinPFN,short,2010-04-30,2010-05-31,500,500,47,0.906,50,50,7,5,0.9,0.86,0.04,0.7142857142857143
FinPFN,short,2010-05-31,2010-06-30,500,500,40,0.92,50,50,7,3,0.94,0.86,0.08,0.42857142857142855
FinPFN,short,2010-06-30,2010-07-31,500,500,46,0.908,50,50,7,2,0.96,0.86,0.1,0.2857142857142857
FinPFN,short,2010-07-31,2010-08-31,500,500,55,0.89,50,50,5,1,0.98,0.9,0.08,0.2
FinPFN,short,2010-08-31,2010-09-30,500,500,28,0.944,50,50,2,1,0.98,0.96,0.02,0.5
FinPFN,short,2010-09-30,2010-10-31,500,500,49,0.902,50,50,2,0,1.0,0.96,0.04,0.0
FinPFN,short,2010-10-31,2010-11-30,500,500,37,0.926,50,50,0,0,1.0,1.0,0.0,
FinPFN,short,2010-11-30,2010-12-31,500,500,32,0.9359999999999999,50,50,3,1,0.98,0.94,0.04,0.3333333333333333
FinPFN,short,2010-12-31,2011-01-31,500,500,45,0.91,50,50,4,2,0.96,0.92,0.04,0.5
FinPFN,short,2011-01-31,2011-02-28,500,500,48,0.904,50,50,4,0,1.0,0.92,0.08,0.0
FinPFN,short,2011-02-28,2011-03-31,500,500,48,0.904,50,50,5,0,1.0,0.9,0.1,0.0
FinPFN,short,2011-03-31,2011-04-30,500,500,40,0.92,50,50,5,2,0.96,0.9,0.06,0.4
FinPFN,short,2011-04-30,2011-05-31,500,500,48,0.904,50,50,6,4,0.92,0.88,0.04,0.6666666666666666
FinPFN,short,2011-05-31,2011-06-30,500,500,36,0.928,50,50,5,4,0.92,0.9,0.02,0.8
FinPFN,short,2011-06-30,2011-07-31,500,500,51,0.898,50,50,6,4,0.92,0.88,0.04,0.6666666666666666
FinPFN,short,2011-07-31,2011-08-31,500,500,36,0.928,50,50,2,0,1.0,0.96,0.04,0.0
FinPFN,short,2011-08-31,2011-09-30,500,500,44,0.912,50,50,3,1,0.98,0.94,0.04,0.3333333333333333
FinPFN,short,2011-09-30,2011-10-31,500,500,39,0.922,50,50,1,0,1.0,0.98,0.02,0.0
FinPFN,short,2011-10-31,2011-11-30,500,500,44,0.912,50,50,4,0,1.0,0.92,0.08,0.0
FinPFN,short,2011-11-30,2011-12-31,500,500,44,0.912,50,50,4,1,0.98,0.92,0.06,0.25
FinPFN,short,2011-12-31,2012-01-31,500,500,38,0.924,50,50,4,1,0.98,0.92,0.06,0.25
FinPFN,short,2012-01-31,2012-02-29,500,500,42,0.916,50,50,4,2,0.96,0.92,0.04,0.5
FinPFN,short,2012-02-29,2012-03-31,500,500,51,0.898,50,50,6,2,0.96,0.88,0.08,0.3333333333333333
FinPFN,short,2012-03-31,2012-04-30,500,500,29,0.942,50,50,6,2,0.96,0.88,0.08,0.3333333333333333
FinPFN,short,2012-04-30,2012-05-31,500,500,49,0.902,50,50,7,2,0.96,0.86,0.1,0.2857142857142857
FinPFN,short,2012-05-31,2012-06-30,500,500,47,0.906,50,50,9,4,0.92,0.8200000000000001,0.1,0.4444444444444444
FinPFN,short,2012-06-30,2012-07-31,500,500,38,0.924,50,50,2,0,1.0,0.96,0.04,0.0
FinPFN,short,2012-07-31,2012-08-31,500,500,39,0.922,50,50,5,2,0.96,0.9,0.06,0.4
FinPFN,short,2012-08-31,2012-09-30,500,500,56,0.888,50,50,0,0,1.0,1.0,0.0,
