model,seed,uncertainty_signal,outcome,n_observations,pooled_spearman,pooled_pvalue,mean_datewise_spearman,median_datewise_spearman,n_dates
FinPFN,42,total_member_sd,absolute_cross_sectional_z_error,96859,0.007420423771507313,0.020921421351731632,0.009782982280858358,0.013264322063598896,242
FinPFN,42,total_member_sd,absolute_rank_error,96859,0.0023319651462461767,0.46799205739178773,0.003295275552623353,0.007570110905741211,242
FinPFN,42,total_member_sd,rank_instability_next,62823,0.00605781862411111,0.12892702512840054,0.006202552857063217,0.007900017892243805,241
FinPFN,42,total_member_sd,realized_forward_ic_deterioration,242,-0.04039430306247859,0.5317153497670526,,,242
FinPFN,42,within_group_ensemble_sd,absolute_cross_sectional_z_error,96859,0.008859647868626008,0.005827480125583414,0.011377625579921658,0.016447345027675614,242
FinPFN,42,within_group_ensemble_sd,absolute_rank_error,96859,0.00437369556721749,0.173457353785492,0.005712383285794836,0.00938080124854883,242
FinPFN,42,within_group_ensemble_sd,rank_instability_next,62823,0.010825778810138933,0.006658567969806202,0.01159119076014479,0.012053230616575159,241
FinPFN,42,within_group_ensemble_sd,realized_forward_ic_deterioration,242,-0.05422640843236845,0.4010118943032102,,,242
FinPFN,42,ensemble_mad,absolute_cross_sectional_z_error,96859,-0.02291088188893485,9.949074391912196e-13,-0.022058628387046926,-0.02663418706627544,242
FinPFN,42,ensemble_mad,absolute_rank_error,96859,-0.008508354309416285,0.008096977090423278,-0.008229071081322733,-0.008138983811596053,242
FinPFN,42,ensemble_mad,rank_instability_next,62823,0.0009723813855265472,0.8074493064717398,0.0021317195189358754,0.0034955524728544937,241
FinPFN,42,ensemble_mad,realized_forward_ic_deterioration,242,-0.031369904248063435,0.6272550209032816,,,242
FinPFN,42,ensemble_iqr,absolute_cross_sectional_z_error,96859,-0.023538271883038926,2.361646412597123e-13,-0.022628000504955625,-0.01606894054660861,242
FinPFN,42,ensemble_iqr,absolute_rank_error,96859,-0.007621087748519593,0.01769916099458641,-0.007164308341085236,-0.00865282257920115,242
FinPFN,42,ensemble_iqr,rank_instability_next,62823,-2.9707291266954045e-06,0.99940590791,0.0012560534595737834,-0.004301874495402094,241
FinPFN,42,ensemble_iqr,realized_forward_ic_deterioration,242,-0.02920144061851594,0.6512601926491279,,,242
