model,k,n_dates,mean_actual_fraction,mean_top_precision,mean_bottom_precision,mean_top_return_decimal,mean_bottom_return_decimal,mean_long_short_return_decimal,long_short_sharpe,mean_top_absolute_rank_error,mean_bottom_absolute_rank_error
FinPFN,10,301,0.024964797390726122,0.0186046511627907,0.13853820598006644,0.0004801286332087047,-0.0012878032458349886,0.001767931879043693,2.3310596180287986,0.4748404443097661,0.4441789883491358
FinPFN,20,301,0.049929594781452244,0.042691029900332224,0.16877076411960132,0.0006136055921668386,-0.0012078417738013575,0.001821447365968196,3.625611657803334,0.45728086902319787,0.43993337979181313
FinPFN,40,301,0.09985918956290449,0.09036544850498339,0.20174418604651162,0.00048461859653459936,-0.0009835558429806838,0.0014681744395152832,4.336575199598196,0.4372475936578953,0.4267695662973683
LightGBM,10,301,0.024964797390726122,0.06511627906976744,0.13023255813953488,0.00028229418177678323,-0.00182798542936225,0.002110279611139033,2.3986445058592962,0.4943839471651774,0.4404966312388884
LightGBM,20,301,0.049929594781452244,0.10083056478405317,0.1611295681063123,0.0006890181828491256,-0.0013620469252456358,0.002051065108094762,3.390745957659904,0.47245645276541903,0.4369412986374506
LightGBM,40,301,0.09985918956290449,0.15606312292358804,0.20332225913621263,0.0006840294347218304,-0.0011900580975018192,0.0018740875322236497,5.006527407643422,0.4466984977245544,0.4228315513228535
Ridge,10,301,0.024964797390726122,0.05913621262458472,0.14451827242524917,0.0007261196148202758,-0.0016630823695338562,0.002389201984354132,2.8457471594860912,0.4838841407985837,0.43775920641272986
Ridge,20,301,0.049929594781452244,0.09086378737541528,0.1601328903654485,0.0006873634969727118,-0.0013925231093861498,0.0020798866063588615,3.686284005924168,0.4691379783472765,0.4349897738943566
Ridge,40,301,0.09985918956290449,0.14875415282392027,0.18953488372093022,0.0005548996030164378,-0.0013522531816610591,0.001907152784677497,4.937135584627187,0.44676192861314623,0.4209797598364198
TabPFN,10,301,0.024964797390726122,0.07740863787375415,0.06710963455149502,-0.001753260049515039,0.0014041760096571267,-0.0031574360591721654,-3.7377402676560294,0.5314916789813149,0.5008902790940367
TabPFN,20,301,0.049929594781452244,0.10149501661129569,0.09435215946843854,-0.0013490722056464816,0.0009275911163488038,-0.0022766633219952854,-4.247232344714247,0.511607516039944,0.48556144762224357
TabPFN,40,301,0.09985918956290449,0.1419435215946844,0.1303156146179402,-0.0011950619538296083,0.00073622569361064,-0.001931287647440248,-5.205349950618296,0.4837744218985958,0.4647339213377014
