model,cost_bps_per_one_way_turnover,n_dates,gross_mean_return_decimal,net_mean_return_decimal,gross_annualized_volatility,net_annualized_volatility,gross_long_short_sharpe,net_long_short_sharpe,gross_cumulative_arithmetic_return_decimal,net_cumulative_arithmetic_return_decimal,gross_terminal_compounded_wealth,net_terminal_compounded_wealth,gross_maximum_drawdown,net_maximum_drawdown,average_total_one_way_turnover_including_entry,net_sharpe_rank_at_cost
FinPFN,0,143,0.014651998606993092,0.014651998606993092,0.16906973390026014,0.16906973390026014,1.039949488461616,1.039949488461616,2.0952358008000123,2.0952358008000123,6.790581902546468,6.790581902546468,-0.27259276300616986,-0.27259276300616986,1.951888111888113,3.0
FinPFN,2,143,0.014651998606993092,0.014261620984615475,0.16906973390026014,0.1690728902535914,1.039949488461616,1.0122229031436953,2.0952358008000123,2.039411800800013,6.790581902546468,6.4261443539456335,-0.27259276300616986,-0.2763064906367929,1.951888111888113,3.0
FinPFN,5,143,0.014651998606993092,0.01367605455104904,0.16906973390026014,0.16907763043807303,1.039949488461616,0.9706349337128718,2.0952358008000123,1.9556758008000128,6.790581902546468,5.915593455377143,-0.27259276300616986,-0.28192076048355375,1.951888111888113,3.0
FinPFN,10,143,0.014651998606993092,0.012700110495104982,0.16906973390026014,0.1690855458227589,1.039949488461616,0.9013267526782681,2.0952358008000123,1.8161158008000124,6.790581902546468,5.152661779743099,-0.27259276300616986,-0.2920749794094981,1.951888111888113,3.0
FinPFN,20,143,0.014651998606993092,0.010748222383216866,0.16906973390026014,0.16910143312215697,1.039949488461616,0.7627296009101805,2.0952358008000123,1.536995800800012,6.790581902546468,3.907723110518589,-0.27259276300616986,-0.31426619249805055,1.951888111888113,3.0
FinPFN,30,143,0.014651998606993092,0.008796334271328754,0.16906973390026014,0.1691173957772111,1.039949488461616,0.6241582113468714,2.0952358008000123,1.257875800800012,6.790581902546468,2.9619827602648257,-0.27259276300616986,-0.3358040309049172,1.951888111888113,3.0
FinPFN,50,143,0.014651998606993092,0.004892558047552529,0.16906973390026014,0.16914954706885113,1.039949488461616,0.3470934305649223,2.0952358008000123,0.6996358008000116,6.790581902546468,1.6990108389866951,-0.27259276300616986,-0.3769910774164785,1.951888111888113,3.0
LightGBM,0,143,0.021464615983216803,0.021464615983216803,0.15904317407275542,0.15904317407275542,1.6195312581021044,1.6195312581021044,3.069440085600003,3.069440085600003,18.046970838961236,18.046970838961236,-0.2124617681343881,-0.2124617681343881,1.9411188811188822,1.0
LightGBM,2,143,0.021464615983216803,0.021076392206993023,0.15904317407275542,0.15904094833374083,1.6195312581021044,1.590261559263222,3.069440085600003,3.013924085600002,18.046970838961236,17.090324953266116,-0.2124617681343881,-0.21464464377622816,1.9411188811188822,1.0
LightGBM,5,143,0.021464615983216803,0.02049405654265736,0.15904317407275542,0.15903761606794312,1.6195312581021044,1.5463554132176132,3.069440085600003,2.9306500856000026,18.046970838961236,15.748978444028864,-0.2124617681343881,-0.21790923540997653,1.9411188811188822,1.0
LightGBM,10,143,0.021464615983216803,0.019523497102097918,0.15904317407275542,0.15903207920672519,1.6195312581021044,1.473174257632844,3.069440085600003,2.7918600856000024,18.046970838961236,13.741810148647765,-0.2124617681343881,-0.22332438209727046,1.9411188811188822,1.0
LightGBM,20,143,0.021464615983216803,0.01758237822097904,0.15904317407275542,0.15902106892389808,1.6195312581021044,1.3267961288369918,3.069440085600003,2.5142800856000025,18.046970838961236,10.458203127556256,-0.2124617681343881,-0.23405835273615005,1.9411188811188822,1.0
LightGBM,30,143,0.021464615983216803,0.01564125933986016,0.15904317407275542,0.15901014324184454,1.6195312581021044,1.180397100786516,3.069440085600003,2.2367000856000026,18.046970838961236,7.95504850209625,-0.2124617681343881,-0.24466495178634584,1.9411188811188822,1.0
LightGBM,50,143,0.021464615983216803,0.01175902157762239,0.15904317407275542,0.15898854574968796,1.6195312581021044,0.8875372641852449,3.069440085600003,1.6815400856000018,18.046970838961236,4.595457295855268,-0.2124617681343881,-0.26550107174810256,1.9411188811188822,1.0
Ridge,0,143,0.01858653153286714,0.01858653153286714,0.14013613053060459,0.14013613053060459,1.5915836804534567,1.5915836804534567,2.657874009200001,2.657874009200001,12.45272422699128,12.45272422699128,-0.1563136517192908,-0.1563136517192908,1.9373426573426582,2.0
Ridge,2,143,0.01858653153286714,0.018199063001398605,0.14013613053060459,0.14013553859522646,1.5915836804534567,1.5584109370542096,2.657874009200001,2.6024660092000005,12.45272422699128,11.792315805620996,-0.1563136517192908,-0.15800186346523581,1.9373426573426582,2.0
Ridge,5,143,0.01858653153286714,0.01761786020419581,0.14013613053060459,0.14013465890950202,1.5915836804534567,1.5086512080275556,2.657874009200001,2.5193540092000006,12.45272422699128,10.866364003027599,-0.1563136517192908,-0.16052911320901697,1.9373426573426582,2.0
Ridge,10,143,0.01858653153286714,0.016649188875524475,0.14013613053060459,0.14013321467999929,1.5915836804534567,1.4257167150737535,2.657874009200001,2.3808340092,12.45272422699128,9.480856524411543,-0.1563136517192908,-0.164727708834158,1.9373426573426582,2.0
Ridge,20,143,0.01858653153286714,0.014711846218181822,0.14013613053060459,0.14013040839916502,1.5915836804534567,1.2598418618412717,2.657874009200001,2.1037940092000005,12.45272422699128,7.214465015992108,-0.1563136517192908,-0.17307450501899035,1.9373426573426582,2.0
Ridge,30,143,0.01858653153286714,0.012774503560839161,0.14013613053060459,0.14012771169468466,1.5915836804534567,1.0939595093372576,2.657874009200001,1.8267540092,12.45272422699128,5.486977406188386,-0.1563136517192908,-0.18135444431570424,1.9373426573426582,2.0
Ridge,50,143,0.01858653153286714,0.008899818246153848,0.14013613053060459,0.1401226470398346,1.5915836804534567,0.7621738613279642,2.657874009200001,1.2726740092000002,12.45272422699128,3.1688756061602223,-0.1563136517192908,-0.24996675042196959,1.9373426573426582,2.0
TabPFN,0,143,-0.00012311135664331294,-0.00012311135664331294,0.1689816941634687,0.1689816941634687,-0.008742581775104093,-0.008742581775104093,-0.01760492399999375,-0.01760492399999375,0.8263640507050082,0.8263640507050082,-0.458075162722025,-0.458075162722025,1.9678321678321689,4.0
TabPFN,2,143,-0.00012311135664331294,-0.000516677790209746,0.1689816941634687,0.16898181084794275,-0.008742581775104093,-0.0366911293671489,-0.01760492399999375,-0.07388492399999369,0.8263640507050082,0.7810184281572838,-0.458075162722025,-0.4817832507742703,1.9678321678321689,4.0
TabPFN,5,143,-0.00012311135664331294,-0.0011070274405593974,0.1689816941634687,0.16898198893613312,-0.008742581775104093,-0.07861387696018651,-0.01760492399999375,-0.15830492399999382,0.8263640507050082,0.7175924867883705,-0.458075162722025,-0.5154310741105032,1.9678321678321689,4.0
