model,k,n_dates,mean_actual_fraction,mean_top_precision,mean_bottom_precision,mean_top_return_decimal,mean_bottom_return_decimal,mean_long_short_return_decimal,long_short_sharpe,mean_top_absolute_rank_error,mean_bottom_absolute_rank_error
FinPFN,10,143,0.02,0.03986013986013986,0.1251748251748252,0.010006672363636237,-0.014657568000000218,0.02466424036363645,0.8908382775840941,0.4951762237762237,0.3997034965034965
FinPFN,20,143,0.04,0.0486013986013986,0.1590909090909091,0.012775700433566354,-0.008735822566433737,0.02151152300000009,1.089849274276014,0.47418951048951047,0.4061958041958042
FinPFN,40,143,0.08,0.06118881118881119,0.22430069930069932,0.01229540730419576,-0.005394450426573564,0.01768985773076932,1.1651235230983648,0.4481951048951049,0.40360384615384615
LightGBM,10,143,0.02,0.06853146853146853,0.1,0.018553028517482334,-0.024115954755244882,0.042668983272727216,1.5676511183768682,0.5009566433566434,0.3977272727272727
LightGBM,20,143,0.04,0.0979020979020979,0.1520979020979021,0.017629868398601267,-0.016582908986014108,0.034212777384615374,1.8263326884084485,0.48674755244755247,0.4054027972027972
LightGBM,40,143,0.08,0.1396853146853147,0.19825174825174827,0.018498734423076833,-0.007841507038461648,0.02634024146153848,1.7680959497124176,0.4564646853146853,0.40904335664335667
Ridge,10,143,0.02,0.03356643356643357,0.05524475524475525,0.020407099902097853,-0.012523441510489557,0.03293054141258741,1.6560378447179718,0.47277902097902097,0.433620979020979
Ridge,20,143,0.04,0.058741258741258746,0.08986013986013985,0.018268430594405548,-0.003976250447552496,0.022244681041958047,1.4146321690483699,0.46459860139860143,0.4418615384615385
Ridge,40,143,0.08,0.10034965034965035,0.14772727272727273,0.016874706178321635,-0.0033074501783217332,0.020182156356643367,1.5762391124115849,0.44852552447552446,0.4284629370629371
TabPFN,10,143,0.02,0.06363636363636363,0.09300699300699301,0.0032482299440558283,0.012594831538461334,-0.009346601594405505,-0.30644850739083945,0.5355216783216783,0.46451188811188815
TabPFN,20,143,0.04,0.08951048951048951,0.12342657342657344,0.005615503999999903,0.008186052146852986,-0.002570548146853082,-0.12383624375770386,0.510227972027972,0.4564132867132867
TabPFN,40,143,0.08,0.12202797202797203,0.17482517482517482,0.006380366150349577,0.004463290510489395,0.0019170756398601823,0.1247743075610347,0.4846090909090909,0.4378594405594406
